sample_id,mlcq_type,smell,ground_truth,original_verdict,sonar_detected,result,total_sonar_detections_for_pair,ground_truth_row
3698323,class,blob,0,nao_tem_smell,0,TN,0,2
3698323,class,data-class,0,nao_tem_smell,0,TN,0,3
3698602,function,feature-envy,0,nao_tem_smell,0,TN,0,4
3698602,function,long-method,0,nao_tem_smell,0,TN,0,5
3698665,function,feature-envy,0,nao_tem_smell,0,TN,0,6
3698665,function,long-method,0,nao_tem_smell,0,TN,0,7
3698860,function,feature-envy,0,nao_tem_smell,0,TN,0,8
3698860,function,long-method,0,nao_tem_smell,0,TN,0,9
3699227,function,feature-envy,0,nao_tem_smell,0,TN,0,10
3699227,function,long-method,0,nao_tem_smell,0,TN,0,11
3699521,function,feature-envy,0,nao_tem_smell,0,TN,0,12
3699521,function,long-method,0,nao_tem_smell,0,TN,0,13
3699849,class,blob,0,nao_tem_smell,0,TN,0,14
3699849,class,data-class,0,nao_tem_smell,0,TN,0,15
3700134,function,feature-envy,0,nao_tem_smell,0,TN,0,16
3700134,function,long-method,0,nao_tem_smell,0,TN,0,17
3700666,class,blob,1,tem_smell,1,TP,1,18
3700666,class,data-class,1,tem_smell,0,FN,0,19
3701394,function,feature-envy,0,nao_tem_smell,0,TN,0,20
3701394,function,long-method,0,nao_tem_smell,0,TN,0,21
3701417,function,feature-envy,0,nao_tem_smell,0,TN,0,22
3701417,function,long-method,0,nao_tem_smell,0,TN,0,23
3701614,function,feature-envy,0,nao_tem_smell,0,TN,0,24
3701614,function,long-method,0,nao_tem_smell,0,TN,0,25
3702984,class,blob,1,tem_smell,1,TP,1,26
3702984,class,data-class,0,nao_tem_smell,0,TN,0,27
3703084,function,feature-envy,0,nao_tem_smell,0,TN,0,28
3703084,function,long-method,0,nao_tem_smell,0,TN,0,29
3705164,class,blob,0,nao_tem_smell,0,TN,0,30
3705164,class,data-class,0,nao_tem_smell,0,TN,0,31
3709545,function,feature-envy,0,nao_tem_smell,0,TN,0,32
3709545,function,long-method,0,nao_tem_smell,0,TN,0,33
3710201,class,blob,0,nao_tem_smell,0,TN,0,34
3710201,class,data-class,0,nao_tem_smell,0,TN,0,35
3711605,class,blob,1,tem_smell,0,FN,0,36
3711605,class,data-class,0,nao_tem_smell,0,TN,0,37
3715636,class,blob,0,nao_tem_smell,0,TN,0,38
3715636,class,data-class,1,tem_smell,1,TP,1,39
3717506,class,blob,0,nao_tem_smell,0,TN,0,40
3717506,class,data-class,0,nao_tem_smell,0,TN,0,41
3717549,function,feature-envy,0,nao_tem_smell,0,TN,0,42
3717549,function,long-method,0,nao_tem_smell,0,TN,0,43
3717906,function,feature-envy,0,nao_tem_smell,0,TN,0,44
3717906,function,long-method,1,tem_smell,0,FN,0,45
3719020,function,feature-envy,0,nao_tem_smell,0,TN,0,46
3719020,function,long-method,0,nao_tem_smell,0,TN,0,47
3721456,class,blob,0,nao_tem_smell,0,TN,0,48
3721456,class,data-class,0,nao_tem_smell,0,TN,0,49
3722097,function,feature-envy,0,nao_tem_smell,0,TN,0,50
3722097,function,long-method,0,nao_tem_smell,0,TN,0,51
3722557,function,feature-envy,0,nao_tem_smell,0,TN,0,52
3722557,function,long-method,0,nao_tem_smell,0,TN,0,53
3723043,class,blob,0,nao_tem_smell,0,TN,0,54
3723043,class,data-class,1,tem_smell,1,TP,1,55
3724040,function,feature-envy,0,nao_tem_smell,0,TN,0,56
3724040,function,long-method,0,nao_tem_smell,0,TN,0,57
3725026,function,feature-envy,0,nao_tem_smell,0,TN,0,58
3725026,function,long-method,0,nao_tem_smell,0,TN,0,59
3725378,function,feature-envy,0,nao_tem_smell,0,TN,0,60
3725378,function,long-method,0,nao_tem_smell,0,TN,0,61
3725605,class,blob,1,tem_smell,0,FN,0,62
3725605,class,data-class,0,nao_tem_smell,1,FP,1,63
3727271,class,blob,0,nao_tem_smell,0,TN,0,64
3727271,class,data-class,1,tem_smell,0,FN,0,65
3727277,function,feature-envy,0,nao_tem_smell,0,TN,0,66
3727277,function,long-method,0,nao_tem_smell,0,TN,0,67
3730280,function,feature-envy,0,nao_tem_smell,0,TN,0,68
3730280,function,long-method,0,nao_tem_smell,0,TN,0,69
3732429,class,blob,1,tem_smell,1,TP,1,70
3735879,function,feature-envy,0,nao_tem_smell,0,TN,0,72
3735879,function,long-method,0,nao_tem_smell,0,TN,0,73
3738168,function,feature-envy,0,nao_tem_smell,0,TN,0,74
3738168,function,long-method,0,nao_tem_smell,0,TN,0,75
3739360,function,feature-envy,0,nao_tem_smell,0,TN,0,76
3739360,function,long-method,1,tem_smell,0,FN,0,77
3741534,function,feature-envy,0,nao_tem_smell,0,TN,0,78
3741534,function,long-method,0,nao_tem_smell,0,TN,0,79
3742330,function,feature-envy,0,nao_tem_smell,0,TN,0,80
3742330,function,long-method,0,nao_tem_smell,0,TN,0,81
3743029,function,feature-envy,0,nao_tem_smell,0,TN,0,82
